image_file,annotation_file,damage_class,xmin,ymin,xmax,ymax,image_width,image_height,box_width,box_height,box_area,damage_area_ratio,country,dataset,split,civicfix_class,image_path
India_000005.jpg,India_000005.xml,D40,20,473,368,576,720,720,348,103,35844,0.0691435185185185,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000005.jpg
India_000011.jpg,India_000011.xml,D00,368,462,393,579,720,720,25,117,2925,0.0056423611111111,India,RDD2022,train,Longitudinal Crack,data/raw/road_damage/India/India/train/images/India_000011.jpg
India_000014.jpg,India_000014.xml,D20,304,529,489,691,720,720,185,162,29970,0.0578125,India,RDD2022,train,Alligator Crack,data/raw/road_damage/India/India/train/images/India_000014.jpg
India_000014.jpg,India_000014.xml,D20,1,526,226,708,720,720,225,182,40950,0.0789930555555555,India,RDD2022,train,Alligator Crack,data/raw/road_damage/India/India/train/images/India_000014.jpg
India_000017.jpg,India_000017.xml,D40,207,614,296,678,720,720,89,64,5696,0.0109876543209876,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000017.jpg
India_000017.jpg,India_000017.xml,D40,314,616,435,674,720,720,121,58,7018,0.0135378086419753,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000017.jpg
India_000017.jpg,India_000017.xml,D40,264,541,385,599,720,720,121,58,7018,0.0135378086419753,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000017.jpg
India_000017.jpg,India_000017.xml,D40,398,547,496,603,720,720,98,56,5488,0.0105864197530864,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000017.jpg
India_000024.jpg,India_000024.xml,D20,44,497,649,695,720,720,605,198,119790,0.2310763888888889,India,RDD2022,train,Alligator Crack,data/raw/road_damage/India/India/train/images/India_000024.jpg
India_000027.jpg,India_000027.xml,D40,474,570,586,621,720,720,112,51,5712,0.0110185185185185,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000027.jpg,India_000027.xml,D40,478,511,558,548,720,720,80,37,2960,0.0057098765432098,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000027.jpg,India_000027.xml,D40,191,470,300,547,720,720,109,77,8393,0.0161902006172839,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000027.jpg,India_000027.xml,D40,1,624,168,711,720,720,167,87,14529,0.0280266203703703,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000027.jpg,India_000027.xml,D20,12,506,274,663,720,720,262,157,41134,0.0793479938271605,India,RDD2022,train,Alligator Crack,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000027.jpg,India_000027.xml,D40,640,494,720,531,720,720,80,37,2960,0.0057098765432098,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000027.jpg
India_000028.jpg,India_000028.xml,D20,121,527,702,712,720,720,581,185,107485,0.2073398919753086,India,RDD2022,train,Alligator Crack,data/raw/road_damage/India/India/train/images/India_000028.jpg
India_000038.jpg,India_000038.xml,D00,379,553,443,620,720,720,64,67,4288,0.0082716049382716,India,RDD2022,train,Longitudinal Crack,data/raw/road_damage/India/India/train/images/India_000038.jpg
India_000043.jpg,India_000043.xml,D40,317,496,475,537,720,720,158,41,6478,0.0124961419753086,India,RDD2022,train,Pothole,data/raw/road_damage/India/India/train/images/India_000043.jpg
